drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
2020-03-23,XSMB,"Hà Nội",36123,36,23,9EV|11EV|10EV,74096,74963|90401,72038|89615|92996|48654|74774|28017,5815|9852|8219|0411,3975|8310|6703|4557|0504|7487,551|090|914,56|87|07|93
2020-03-24,XSMB,"Hà Nội",31578,31,78,10EU|7EU|14EU,73112,34793|13159,49320|52222|39477|62863|00021|73974,7605|8743|3931|4385,1116|0788|8887|1437|2565|0929,448|498|085,99|42|59|95
2020-03-25,XSMB,"Hà Nội",54296,54,96,7ET|8ET|2ET,54643,85240|19833,47082|32268|46213|34273|56000|09457,5564|0066|2488|4437,7455|3884|3745|8018|4711|4882,184|517|673,68|19|21|48
2020-03-26,XSMB,"Hà Nội",94135,94,35,12ES|11ES|2ES,22095,09748|36993,72676|03613|18638|00004|49295|78138,0172|3503|5464|8693,4512|8354|8195|3258|7506|9634,910|855|136,06|93|82|80
2020-03-27,XSMB,"Hà Nội",33555,33,55,5ER|11ER|3ER,52557,50894|51062,17067|41228|31970|92048|36571|26045,4978|9209|8932|8979,9923|2793|6344|1138|5679|5484,204|276|911,82|38|99|54
2020-03-28,XSMB,"Hà Nội",91159,91,59,2EQ|7EQ|14EQ,40109,87459|66379,97314|60879|30091|10908|57906|96546,6281|0402|5637|7531,3528|3363|6791|7953|1195|6735,815|758|345,74|03|10|23
2020-03-29,XSMB,"Hà Nội",28914,28,14,3EP|6EP|5EP,63988,66992|90797,99095|26209|16780|19311|58837|67813,5147|2189|6051|0363,3597|7479|9223|4583|2266|4751,342|556|502,24|66|52|88
2020-03-30,XSMB,"Hà Nội",42902,42,02,12EN|5EN|9EN,92559,98712|08709,03080|71055|13663|02249|36140|28867,1559|3221|3343|0895,4639|7093|8482|4906|2576|9849,314|495|258,55|94|79|05
2020-03-31,XSMB,"Hà Nội",98819,98,19,5EM|14EM|10EM,44179,96294|96108,61368|22973|51191|28270|11119|11461,6484|4112|0063|8515,4555|2238|0157|5358|6076|8185,957|130|489,17|45|96|10
2020-04-23,XSMB,"Hà Nội",54503,54,03,8FK|9FK|15FK,52470,22018|38528,21122|43403|38231|62794|44286|27608,5226|2490|8491|8209,9606|4762|9118|4523|7644|1846,995|858|210,32|03|81|08
2020-04-24,XSMB,"Hà Nội",69550,69,50,12FH|2FH|4FH,91137,77402|41845,17750|42618|21199|45081|34758|55910,8869|0707|1171|8471,3327|5393|7018|6271|8763|0361,979|603|061,46|12|49|81
2020-04-25,XSMB,"Hà Nội",46625,46,25,1FG|10FG|7FG,35206,37924|07487,52488|16580|35819|94080|77434|12598,0183|4347|7198|2786,9594|8168|4620|1042|5478|6685,042|860|113,14|40|50|46
2020-04-26,XSMB,"Hà Nội",90667,90,67,12FE|9FE|7FE,18768,61098|82819,66559|79693|39067|88540|84522|10917,6455|7806|1737|8110,1884|2203|3664|2606|3478|3633,395|280|985,08|75|40|42
2020-04-27,XSMB,"Hà Nội",77561,77,61,15FD|14FD|9FD,86201,33416|13287,40427|74012|19445|50825|50002|44156,8889|9173|7790|9358,0473|6488|5491|8777|7960|1618,841|862|589,21|91|28|58
2020-04-28,XSMB,"Hà Nội",69063,69,63,3FC|2FC|8FC,34806,31536|32927,40236|10533|16407|10122|05568|50341,8680|5441|6495|2972,4446|0813|7173|4469|9458|5070,716|597|231,83|34|49|25
2020-04-29,XSMB,"Hà Nội",97298,97,98,15FB|8FB|12FB|17FB,00962,79229|50233,09152|40739|13373|10734|32955|44862,1888|5740|6272|1396,1017|7460|7603|1870|6564|0775,547|058|536,03|72|51|06
2020-04-30,XSMB,"Hà Nội",06702,06,02,8FA|12FA|15FA,26083,13622|41709,21105|07116|87934|85218|70692|00542,1871|8988|5555|7775,9361|1394|5433|0780|8923|5972,945|995|032,37|69|19|99
2020-05-01,XSMB,"Hà Nội",29166,29,66,13GZ|1GZ|9GZ,05369,19343|16172,35371|73725|30299|42084|59941|72698,5746|6151|2895|0556,9388|5994|2799|6934|4285|0820,802|598|382,64|68|38|69
2020-05-02,XSMB,"Hà Nội",82632,82,32,13GY|6GY|4GY,20684,31934|37670,27570|98555|72812|08787|04400|77159,5801|0218|7330|3194,3831|6694|0245|3123|9743|1614,952|824|128,99|24|70|46
2020-05-03,XSMB,"Hà Nội",08247,08,47,1GX|11GX|3GX,89507,37009|55789,05454|78208|26771|37657|41916|82114,4828|3542|6890|6718,8757|7473|3139|6788|2868|4763,780|885|974,55|84|15|86
2020-05-04,XSMB,"Hà Nội",36662,36,62,9GV|11GV|3GV,62017,63184|55310,01889|14329|88948|49653|47179|12429,2993|4691|1201|6781,9622|9530|5708|1983|5310|4259,567|622|767,79|97|80|22
2020-05-05,XSMB,"Hà Nội",56872,56,72,9GU|3GU|5GU,45029,35063|71698,69422|76710|31542|60793|85203|34393,6871|4393|1537|9598,9061|6880|0722|0608|9988|7337,426|471|950,20|37|65|25
2020-05-06,XSMB,"Hà Nội",03336,03,36,12GT|1GT|11GT,87945,97226|51794,91068|64543|51130|86584|15916|85086,7435|6143|8731|2772,9041|6374|6429|5445|6826|8420,013|673|613,25|36|53|15
2020-05-07,XSMB,"Hà Nội",83382,83,82,12GS|8GS|6GS,20244,47001|08910,32683|29556|81625|03936|06413|37934,3402|2471|1120|6427,0966|6992|6511|6017|4191|3660,716|124|785,16|78|79|08
